bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio2,bio1,wind_avg,vapr_avg,srad_avg
10,254,10,395,94.86161,3,144,660,19.95933,23.278,19.57467,22.98733,14.924,14.02,28.944,157.87976,70.39221,10.59767,22.2575,20.844,23.6468,180031.1719
107,364,94,403,54.42253,26,145,953,17.60333,20.532,18.278,20.39,15.86,11.088,26.948,127.17812,77.70072,12.32333,19.489,25.992,20.5848,183037.8281
17,220,16,302,84.0241,4,117,574,21.818,25.08067,22.56,24.87533,15.252,15.9,31.152,142.05435,73.71273,11.24267,23.907,20.852,25.448,182497.3281
69,326,58,371,63.32971,11,129,829,20.23867,23.40133,20.83067,23.27467,15.4,13.96,29.36,137.70169,75.51082,11.62867,22.28167,22.404,23.6756,184779.5
68,320,57,361,62.85441,10,124,812,20.10933,23.25667,20.71133,23.13467,15.44,13.828,29.268,137.63834,75.25691,11.61967,22.1485,22.496,23.4848,184332.3281
132,374,110,408,50.09466,31,148,995,16.716,21.58533,19.384,21.434,14.74,10.728,27.456,126.80566,77.41972,11.74233,18.6335,24.92,21.6216,183923.4219
15,219,14,296,84.45652,3,115,563,21.63667,24.90267,22.35,24.684,14.992,15.856,30.848,141.27899,73.68597,11.047,23.7165,21.048,25.3116,183399
34,247,32,303,74.66402,6,105,628,19.95267,23.24667,20.53333,23.22,15.892,13.508,29.4,143.79465,74.52178,11.843,22.0775,22.736,22.668,187967.75
28,251,25,290,73.60596,5,110,620,21.53067,24.91067,22.17267,24.68067,14.844,15.84,30.684,143.76577,73.41013,10.897,23.63217,21.116,25.5804,182497.75
144,276,105,296,39.96763,25,104,810,17.10067,20.68533,18.77067,20.49867,14.152,11.516,25.668,150.79949,68.7818,9.734,19.30967,25,20.5528,184690.0781
28,249,24,296,75.04916,5,114,619,21.64867,25.02067,22.26667,24.79333,14.792,15.988,30.78,143.26092,73.35047,10.85,23.73767,20.972,25.774,182284.3281
128,271,97,295,43.73292,23,105,775,17.50467,21.20933,19.166,21.00933,14.468,11.808,26.276,155.37925,68.13428,9.85767,19.76617,24.6,20.9884,185482.0781
11,148,9,314,94.36875,1,137,564,23.33,26.458,23.884,25.58,17.064,16.248,33.312,125.62628,78.92639,13.468,25.165,17.704,23.2444,192878.9219
67,311,58,368,63.94582,13,141,843,21.83933,24.90333,22.29267,24.72133,14.968,15.708,30.676,132.34694,75.89747,11.339,23.78083,20.848,26.0212,181216.0781
9,141,6,286,93.24178,1,123,530,24.23133,27.14867,24.76533,26.71933,17.62,16.792,34.412,119.33608,79.1487,13.946,25.97867,19.24,23.9912,192815.4219
27,235,25,315,80.22108,5,129,613,21.81933,25.05,22.35467,24.79933,14.268,16.276,30.544,135.73184,73.70806,10.51667,23.807,20.74,26.202,181834.5
67,309,67,444,67.7036,20,160,910,19.71933,24.188,19.71933,23.632,16.232,13.948,30.18,180.09474,67.9296,11.02633,22.29683,15.86,24.8428,174446.1719
165,264,108,287,35.87855,28,103,829,17.93467,21.85333,19.69267,21.60267,14.808,12.112,26.92,164.40974,67.00432,9.922,20.33167,23.724,22.04,186378.25
165,264,108,287,35.87855,28,103,829,17.93467,21.85333,19.69267,21.60267,14.808,12.112,26.92,164.40974,67.00432,9.922,20.33167,23.724,22.04,186378.25
41,225,37,266,70.42338,11,100,565,19.242,23.00533,19.66667,22.872,16.324,12.688,28.948,161.5953,69.40905,11.173,21.58083,23.172,22.5524,186513.25
41,225,37,266,70.42338,11,100,565,19.242,23.00533,19.66667,22.872,16.324,12.688,28.948,161.5953,69.40905,11.173,21.58083,23.172,22.5524,186513.25
159,258,103,281,36.84905,27,103,812,18.25,21.85333,19.69267,21.60267,14.808,12.28,26.92,164.40974,67.00432,10.194,20.64233,23.724,22.04,186378.25
167,255,107,278,35.58247,27,101,811,18.04733,21.95333,19.76733,21.69667,14.828,12.212,27.04,163.78082,66.97464,9.931,20.43117,23.636,22.2172,186097.4219
30,236,27,312,78.66333,6,129,618,21.14333,24.39,21.64333,24.15733,13.872,15.708,29.58,136.24439,73.12091,10.14333,23.13133,21.34,25.5652,181740.1719
5,132,3,254,96.906,0,107,457,23.802,26.71267,24.26933,26.46733,17.24,16.548,33.788,122.0571,78.10132,13.46467,25.609,20.2,24.1908,198010.6719
5,131,2,255,97.01698,0,108,459,23.75067,26.65733,24.222,26.42933,16.988,16.624,33.612,122.30243,78.17872,13.281,25.55717,20.412,24.1128,195906.75
6,134,3,251,95.77331,1,105,454,23.51667,26.51133,24.024,26.248,17.3,16.256,33.556,125.50406,79.40848,13.73767,25.36383,20.764,23.8612,194909.0781
11,155,10,308,91.82831,1,135,574,22.73333,25.98133,23.274,25.044,17.016,15.74,32.756,130.44662,76.55148,13.026,24.62433,18.38,22.7672,192891
172,259,109,275,34.11581,29,102,831,18.21067,22.158,19.93667,21.87333,14.944,12.316,27.26,165.46771,66.84734,9.98967,20.61483,23.4,22.5928,186681.6719
